# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C initialization__ACQ_6 of DFF T0 W1
C setup_hbm__D__lh__CLK__lh__ACQ_1 of DFF T1 W1
C initialization__ACQ_5 of DFF T2 W1
C setup_hbm__D__hl__CLK__lh__ACQ_1 of DFF T3 W1
C initialization__ACQ_3 of DFF T4 W1
C leakage_power__ACQ_1 of DFF T5 W1
C Cin__D__hl__ACQ_1 of DFF T6 W1
C Cin__D__lh__ACQ_1 of DFF T7 W1
C Cin__VSS__hl__ACQ_1 of DFF T8 W1
C Cin__VSS__lh__ACQ_1 of DFF T9 W1
C initialization__ACQ_4 of DFF T10 W1
C ncmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of DFF T11 W1
C removal_hbm__R__hl__CLK__lh__ACQ_1 of DFF T12 W1
C recover_hbm__R__hl__CLK__lh__ACQ_1 of DFF T13 W1
C initialization__ACQ_1 of DFF T14 W1
C initialization__ACQ_2 of DFF T15 W1
C cmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of DFF T16 W1
C cmpw_hbm__R__lh__R__hl__ACQ_1 of DFF T17 W1
C delay__CLK__lh__Q__hl__ACQ_1 of DFF T18 W1
C delay__CLK__lh__Q__lh__ACQ_1 of DFF T19 W1
C hold_hbm__D__lh__CLK__lh__ACQ_1 of DFF T20 W1
C hold_hbm__D__hl__CLK__lh__ACQ_1 of DFF T21 W1
C Cin__CLK__hl__ACQ_1 of DFF T22 W1
C Cin__VDD__hl__ACQ_1 of DFF T23 W1
C Cin__VDD__lh__ACQ_1 of DFF T24 W1
C delay__R__lh__Q__hl__ACQ_1 of DFF T25 W1
C Cin__R__hl__ACQ_1 of DFF T26 W1
C delay__B__lh__OUT__hl__ACQ_1 of NAND2 T27 W1
C delay__B__hl__OUT__lh__ACQ_1 of NAND2 T28 W1
C leakage_power__ACQ_1 of NAND2 T29 W1
C Cin__VSS__lh__ACQ_1 of NAND2 T30 W1
C Cin__VSS__hl__ACQ_1 of NAND2 T31 W1
C delay__A__lh__OUT__hl__ACQ_1 of NAND2 T32 W1
C delay__A__hl__OUT__lh__ACQ_1 of NAND2 T33 W1
C Cin__VDD__lh__ACQ_1 of NAND2 T34 W1
C Cin__VDD__hl__ACQ_1 of NAND2 T35 W1
C leakage_power__ACQ_1 of OAI22 T36 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T37 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T38 W1
C delay__A__hl__OUT__lh__ACQ_1 of OAI22 T39 W1
C delay__A__lh__OUT__hl__ACQ_1 of OAI22 T40 W1
C delay__B__hl__OUT__lh__ACQ_1 of OAI22 T41 W1
C delay__B__lh__OUT__hl__ACQ_1 of OAI22 T42 W1
C delay__C__hl__OUT__lh__ACQ_1 of OAI22 T43 W1
C delay__C__lh__OUT__hl__ACQ_1 of OAI22 T44 W1
C delay__D__hl__OUT__lh__ACQ_1 of OAI22 T45 W1
C delay__D__lh__OUT__hl__ACQ_1 of OAI22 T46 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T47 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T48 W1
C leakage_power__ACQ_1 of XNOR2 T49 W1
C Cin__VSS__hl__ACQ_1 of XNOR2 T50 W1
C Cin__VSS__lh__ACQ_1 of XNOR2 T51 W1
C delay__A__hl__OUT__hl__ACQ_1 of XNOR2 T52 W1
C delay__A__hl__OUT__lh__ACQ_1 of XNOR2 T53 W1
C delay__A__lh__OUT__hl__ACQ_1 of XNOR2 T54 W1
C delay__A__lh__OUT__lh__ACQ_1 of XNOR2 T55 W1
C delay__B__hl__OUT__hl__ACQ_1 of XNOR2 T56 W1
C delay__B__hl__OUT__lh__ACQ_1 of XNOR2 T57 W1
C delay__B__lh__OUT__hl__ACQ_1 of XNOR2 T58 W1
C delay__B__lh__OUT__lh__ACQ_1 of XNOR2 T59 W1
C Cin__VDD__hl__ACQ_1 of XNOR2 T60 W1
C Cin__VDD__lh__ACQ_1 of XNOR2 T61 W1
