# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C initialization__ACQ_6 of DFF2 T0 W1
C setup_hbm__D__lh__CLK__lh__ACQ_1 of DFF2 T1 W1
C initialization__ACQ_5 of DFF2 T2 W1
C setup_hbm__D__hl__CLK__lh__ACQ_1 of DFF2 T3 W1
C initialization__ACQ_3 of DFF2 T4 W1
C leakage_power__ACQ_1 of DFF2 T5 W1
C Cin__D__hl__ACQ_1 of DFF2 T6 W1
C Cin__D__lh__ACQ_1 of DFF2 T7 W1
C Cin__VSS__hl__ACQ_1 of DFF2 T8 W1
C Cin__VSS__lh__ACQ_1 of DFF2 T9 W1
C initialization__ACQ_4 of DFF2 T10 W1
C ncmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of DFF2 T11 W1
C removal_hbm__R__hl__CLK__lh__ACQ_1 of DFF2 T12 W1
C recover_hbm__R__hl__CLK__lh__ACQ_1 of DFF2 T13 W1
C initialization__ACQ_1 of DFF2 T14 W1
C initialization__ACQ_2 of DFF2 T15 W1
C cmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of DFF2 T16 W1
C cmpw_hbm__R__lh__R__hl__ACQ_1 of DFF2 T17 W1
C delay__CLK__lh__Q__hl__ACQ_1 of DFF2 T18 W1
C delay__CLK__lh__Q__lh__ACQ_1 of DFF2 T19 W1
C hold_hbm__D__lh__CLK__lh__ACQ_1 of DFF2 T20 W1
C hold_hbm__D__hl__CLK__lh__ACQ_1 of DFF2 T21 W1
C Cin__CLK__hl__ACQ_1 of DFF2 T22 W1
C Cin__VDD__hl__ACQ_1 of DFF2 T23 W1
C Cin__VDD__lh__ACQ_1 of DFF2 T24 W1
C delay__R__lh__Q__hl__ACQ_1 of DFF2 T25 W1
C Cin__R__hl__ACQ_1 of DFF2 T26 W1
