# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of INV T0 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INV T1 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INV T2 W1
C Cin__VSS__lh__ACQ_1 of INV T3 W1
C Cin__VSS__hl__ACQ_1 of INV T4 W1
C Cin__VDD__lh__ACQ_1 of INV T5 W1
C Cin__VDD__hl__ACQ_1 of INV T6 W1
C initialization__ACQ_6 of DFF T7 W1
C setup_hbm__D__lh__CLK__lh__ACQ_1 of DFF T8 W1
C initialization__ACQ_5 of DFF T9 W1
C setup_hbm__D__hl__CLK__lh__ACQ_1 of DFF T10 W1
C initialization__ACQ_3 of DFF T11 W1
C leakage_power__ACQ_1 of DFF T12 W1
C Cin__D__hl__ACQ_1 of DFF T13 W1
C Cin__D__lh__ACQ_1 of DFF T14 W1
C Cin__VSS__hl__ACQ_1 of DFF T15 W1
C Cin__VSS__lh__ACQ_1 of DFF T16 W1
C initialization__ACQ_4 of DFF T17 W1
C ncmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of DFF T18 W1
C removal_hbm__R__hl__CLK__lh__ACQ_1 of DFF T19 W1
C recover_hbm__R__hl__CLK__lh__ACQ_1 of DFF T20 W1
C initialization__ACQ_1 of DFF T21 W1
C initialization__ACQ_2 of DFF T22 W1
C cmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of DFF T23 W1
C cmpw_hbm__R__lh__R__hl__ACQ_1 of DFF T24 W1
C delay__CLK__lh__Q__hl__ACQ_1 of DFF T25 W1
C delay__CLK__lh__Q__lh__ACQ_1 of DFF T26 W1
C hold_hbm__D__lh__CLK__lh__ACQ_1 of DFF T27 W1
C hold_hbm__D__hl__CLK__lh__ACQ_1 of DFF T28 W1
C Cin__CLK__hl__ACQ_1 of DFF T29 W1
C Cin__VDD__hl__ACQ_1 of DFF T30 W1
C Cin__VDD__lh__ACQ_1 of DFF T31 W1
C delay__R__lh__Q__hl__ACQ_1 of DFF T32 W1
C Cin__R__hl__ACQ_1 of DFF T33 W1
C delay__B__lh__OUT__hl__ACQ_1 of NAND2 T34 W1
C delay__B__hl__OUT__lh__ACQ_1 of NAND2 T35 W1
C leakage_power__ACQ_1 of NAND2 T36 W1
C Cin__VSS__lh__ACQ_1 of NAND2 T37 W1
C Cin__VSS__hl__ACQ_1 of NAND2 T38 W1
C delay__A__lh__OUT__hl__ACQ_1 of NAND2 T39 W1
C delay__A__hl__OUT__lh__ACQ_1 of NAND2 T40 W1
C Cin__VDD__lh__ACQ_1 of NAND2 T41 W1
C Cin__VDD__hl__ACQ_1 of NAND2 T42 W1
