# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C delay__B__lh__OUT__hl__ACQ_1 of NAND2 T0 W1
C delay__B__hl__OUT__lh__ACQ_1 of NAND2 T1 W1
C leakage_power__ACQ_1 of NAND2 T2 W1
C Cin__VSS__lh__ACQ_1 of NAND2 T3 W1
C Cin__VSS__hl__ACQ_1 of NAND2 T4 W1
C delay__A__lh__OUT__hl__ACQ_1 of NAND2 T5 W1
C delay__A__hl__OUT__lh__ACQ_1 of NAND2 T6 W1
C Cin__VDD__lh__ACQ_1 of NAND2 T7 W1
C Cin__VDD__hl__ACQ_1 of NAND2 T8 W1
C leakage_power__ACQ_1 of XNOR2 T9 W1
C Cin__VSS__hl__ACQ_1 of XNOR2 T10 W1
C Cin__VSS__lh__ACQ_1 of XNOR2 T11 W1
C delay__A__hl__OUT__hl__ACQ_1 of XNOR2 T12 W1
C delay__A__hl__OUT__lh__ACQ_1 of XNOR2 T13 W1
C delay__A__lh__OUT__hl__ACQ_1 of XNOR2 T14 W1
C delay__A__lh__OUT__lh__ACQ_1 of XNOR2 T15 W1
C delay__B__hl__OUT__hl__ACQ_1 of XNOR2 T16 W1
C delay__B__hl__OUT__lh__ACQ_1 of XNOR2 T17 W1
C delay__B__lh__OUT__hl__ACQ_1 of XNOR2 T18 W1
C delay__B__lh__OUT__lh__ACQ_1 of XNOR2 T19 W1
C Cin__VDD__hl__ACQ_1 of XNOR2 T20 W1
C Cin__VDD__lh__ACQ_1 of XNOR2 T21 W1
