# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of XNOR2 T0 W1
C Cin__VSS__hl__ACQ_1 of XNOR2 T1 W1
C Cin__VSS__lh__ACQ_1 of XNOR2 T2 W1
C delay__INA__hl__OUT__hl__ACQ_1 of XNOR2 T3 W1
C delay__INA__hl__OUT__lh__ACQ_1 of XNOR2 T4 W1
C delay__INA__lh__OUT__hl__ACQ_1 of XNOR2 T5 W1
C delay__INA__lh__OUT__lh__ACQ_1 of XNOR2 T6 W1
C Cin__VDD__hl__ACQ_1 of XNOR2 T7 W1
C Cin__VDD__lh__ACQ_1 of XNOR2 T8 W1
C delay__INB__hl__OUT__hl__ACQ_1 of XNOR2 T9 W1
C delay__INB__hl__OUT__lh__ACQ_1 of XNOR2 T10 W1
C delay__INB__lh__OUT__hl__ACQ_1 of XNOR2 T11 W1
C delay__INB__lh__OUT__lh__ACQ_1 of XNOR2 T12 W1
